paquet,version,licence,depot
bevy_reflect,0.18.1,MIT OR Apache-2.0,https://github.com/bevyengine/bevy
bevy_reflect_derive,0.18.1,MIT OR Apache-2.0,https://github.com/bevyengine/bevy
bevy_render,0.18.1,MIT OR Apache-2.0,https://github.com/bevyengine/bevy
bevy_render_macros,0.18.1,MIT OR Apache-2.0,https://github.com/bevyengine/bevy
bevy_scene,0.18.1,MIT OR Apache-2.0,https://github.com/bevyengine/bevy
bevy_shader,0.18.1,MIT OR Apache-2.0,https://github.com/bevyengine/bevy
bevy_sprite,0.18.1,MIT OR Apache-2.0,https://github.com/bevyengine/bevy
bevy_sprite_render,0.18.1,MIT OR Apache-2.0,https://github.com/bevyengine/bevy
bevy_state,0.18.1,MIT OR Apache-2.0,https://github.com/bevyengine/bevy
bevy_state_macros,0.18.1,MIT OR Apache-2.0,
bevy_tasks,0.18.1,MIT OR Apache-2.0,https://github.com/bevyengine/bevy
bevy_text,0.18.1,MIT OR Apache-2.0,https://github.com/bevyengine/bevy
bevy_time,0.18.1,MIT OR Apache-2.0,https://github.com/bevyengine/bevy
bevy_transform,0.18.1,MIT OR Apache-2.0,https://github.com/bevyengine/bevy
bevy_ui,0.18.1,MIT OR Apache-2.0,https://github.com/bevyengine/bevy
bevy_ui_render,0.18.1,MIT OR Apache-2.0,https://github.com/bevyengine/bevy
bevy_ui_widgets,0.18.1,MIT OR Apache-2.0,https://github.com/bevyengine/bevy
bevy_utils,0.18.1,MIT OR Apache-2.0,https://github.com/bevyengine/bevy
bevy_water,0.18.1,MIT OR Apache-2.0,https://github.com/Neopallium/bevy_water
bevy_window,0.18.1,MIT OR Apache-2.0,https://github.com/bevyengine/bevy
bevy_winit,0.18.1,MIT OR Apache-2.0,https://github.com/bevyengine/bevy
bindgen,0.72.1,BSD-3-Clause,https://github.com/rust-lang/rust-bindgen
bit-set,0.8.0,Apache-2.0 OR MIT,https://github.com/contain-rs/bit-set
bit-vec,0.8.0,Apache-2.0 OR MIT,https://github.com/contain-rs/bit-vec
bitflags,1.3.2,MIT/Apache-2.0,https://github.com/bitflags/bitflags
bitflags,2.11.1,MIT OR Apache-2.0,https://github.com/bitflags/bitflags
blake3,1.8.5,CC0-1.0 OR Apache-2.0 OR Apache-2.0 WITH LLVM-exception,https://github.com/BLAKE3-team/BLAKE3
block,0.1.6,MIT,http://github.com/SSheldon/rust-block
block-buffer,0.10.4,MIT OR Apache-2.0,https://github.com/RustCrypto/utils
block2,0.5.1,MIT,https://github.com/madsmtm/objc2
block2,0.6.2,MIT,https://github.com/madsmtm/objc2
blocking,1.6.2,Apache-2.0 OR MIT,https://github.com/smol-rs/blocking
bumpalo,3.20.2,MIT OR Apache-2.0,https://github.com/fitzgen/bumpalo
bvh2d,0.7.0,MIT,https://github.com/mockersf/bvh2d
bytemuck,1.25.0,Zlib OR Apache-2.0 OR MIT,https://github.com/Lokathor/bytemuck
bytemuck_derive,1.10.2,Zlib OR Apache-2.0 OR MIT,https://github.com/Lokathor/bytemuck
byteorder,1.5.0,Unlicense OR MIT,https://github.com/BurntSushi/byteorder
byteorder-lite,0.1.0,Unlicense OR MIT,https://github.com/image-rs/byteorder-lite
bytes,1.11.1,MIT,https://github.com/tokio-rs/bytes
calloop,0.13.0,MIT,https://github.com/Smithay/calloop
calloop-wayland-source,0.3.0,MIT,https://github.com/smithay/calloop-wayland-source
cast,0.3.0,MIT OR Apache-2.0,https://github.com/japaric/cast.rs
cc,1.2.62,MIT OR Apache-2.0,https://github.com/rust-lang/cc-rs
cesu8,1.1.0,Apache-2.0/MIT,https://github.com/emk/cesu8-rs
cexpr,0.6.0,Apache-2.0/MIT,https://github.com/jethrogb/rust-cexpr
cfg-if,1.0.4,MIT OR Apache-2.0,https://github.com/rust-lang/cfg-if
cfg_aliases,0.2.1,MIT,https://github.com/katharostech/cfg_aliases
chacha20,0.10.0,MIT OR Apache-2.0,https://github.com/RustCrypto/stream-ciphers
chrono,0.4.44,MIT OR Apache-2.0,https://github.com/chronotope/chrono
ciborium,0.2.2,Apache-2.0,https://github.com/enarx/ciborium
ciborium-io,0.2.2,Apache-2.0,https://github.com/enarx/ciborium
ciborium-ll,0.2.2,Apache-2.0,https://github.com/enarx/ciborium
clang-sys,1.8.1,Apache-2.0,https://github.com/KyleMayes/clang-sys
clap,4.6.1,MIT OR Apache-2.0,https://github.com/clap-rs/clap
clap_builder,4.6.0,MIT OR Apache-2.0,https://github.com/clap-rs/clap
clap_derive,4.6.1,MIT OR Apache-2.0,https://github.com/clap-rs/clap
clap_lex,1.1.0,MIT OR Apache-2.0,https://github.com/clap-rs/clap
clipboard-win,5.4.1,BSL-1.0,https://github.com/DoumanAsh/clipboard-win
codespan-reporting,0.12.0,Apache-2.0,https://github.com/brendanzab/codespan
colorchoice,1.0.5,MIT OR Apache-2.0,https://github.com/rust-cli/anstyle.git
combine,4.6.7,MIT,https://github.com/Marwes/combine
concurrent-queue,2.5.0,Apache-2.0 OR MIT,https://github.com/smol-rs/concurrent-queue
console_error_panic_hook,0.1.7,Apache-2.0/MIT,https://github.com/rustwasm/console_error_panic_hook
const-fnv1a-hash,1.1.0,MIT,https://github.com/HindrikStegenga/const-fnv1a-hash
const_panic,0.2.15,Zlib,https://github.com/rodrimati1992/const_panic/
const_soft_float,0.1.4,MIT OR Apache-2.0,https://github.com/823984418/const_soft_float
constant_time_eq,0.4.2,CC0-1.0 OR MIT-0 OR Apache-2.0,https://github.com/cesarb/constant_time_eq
constgebra,0.1.4,MIT OR Apache-2.0,https://github.com/knickish/constgebra
convert_case,0.10.0,MIT,https://github.com/rutrum/convert-case
core-foundation,0.10.1,MIT OR Apache-2.0,https://github.com/servo/core-foundation-rs
core-foundation,0.9.4,MIT OR Apache-2.0,https://github.com/servo/core-foundation-rs
core-foundation-sys,0.8.7,MIT OR Apache-2.0,https://github.com/servo/core-foundation-rs
core-graphics,0.23.2,MIT OR Apache-2.0,https://github.com/servo/core-foundation-rs
core-graphics-types,0.1.3,MIT OR Apache-2.0,https://github.com/servo/core-foundation-rs
core-graphics-types,0.2.0,MIT OR Apache-2.0,https://github.com/servo/core-foundation-rs
core_maths,0.1.1,MIT,https://github.com/robertbastian/core_maths
coreaudio-rs,0.11.3,MIT/Apache-2.0,https://github.com/RustAudio/coreaudio-rs.git
coreaudio-sys,0.2.17,MIT,https://github.com/RustAudio/coreaudio-sys.git
cosmic-text,0.16.0,MIT OR Apache-2.0,https://github.com/pop-os/cosmic-text
cpal,0.15.3,Apache-2.0,https://github.com/rustaudio/cpal
cpufeatures,0.2.17,MIT OR Apache-2.0,https://github.com/RustCrypto/utils
cpufeatures,0.3.0,MIT OR Apache-2.0,https://github.com/RustCrypto/utils
crc32fast,1.5.0,MIT OR Apache-2.0,https://github.com/srijs/rust-crc32fast
criterion,0.5.1,Apache-2.0 OR MIT,https://github.com/bheisler/criterion.rs
criterion-plot,0.5.0,MIT/Apache-2.0,https://github.com/bheisler/criterion.rs
critical-section,1.2.0,MIT OR Apache-2.0,https://github.com/rust-embedded/critical-section
crossbeam-channel,0.5.15,MIT OR Apache-2.0,https://github.com/crossbeam-rs/crossbeam
crossbeam-deque,0.8.6,MIT OR Apache-2.0,https://github.com/crossbeam-rs/crossbeam
crossbeam-epoch,0.9.20,MIT OR Apache-2.0,https://github.com/crossbeam-rs/crossbeam
crossbeam-queue,0.3.12,MIT OR Apache-2.0,https://github.com/crossbeam-rs/crossbeam
crossbeam-utils,0.8.21,MIT OR Apache-2.0,https://github.com/crossbeam-rs/crossbeam
crunchy,0.2.4,MIT,https://github.com/eira-fransham/crunchy
crypto-common,0.1.7,MIT OR Apache-2.0,https://github.com/RustCrypto/traits
ctrlc,3.5.2,MIT/Apache-2.0,https://github.com/Detegr/rust-ctrlc.git
cursor-icon,1.2.0,MIT OR Apache-2.0 OR Zlib,https://github.com/rust-windowing/cursor-icon
dasp_sample,0.11.0,MIT OR Apache-2.0,https://github.com/rustaudio/sample.git
data-encoding,2.11.0,MIT,https://github.com/ia0/data-encoding
delaunator,1.1.0,ISC,https://github.com/mourner/delaunator-rs
derive_arbitrary,1.4.2,MIT OR Apache-2.0,https://github.com/rust-fuzz/arbitrary
derive_more,2.1.1,MIT,https://github.com/JelteF/derive_more
derive_more-impl,2.1.1,MIT,https://github.com/JelteF/derive_more
digest,0.10.7,MIT OR Apache-2.0,https://github.com/RustCrypto/traits
dispatch,0.2.0,MIT,http://github.com/SSheldon/rust-dispatch
dispatch2,0.3.1,Zlib OR Apache-2.0 OR MIT,https://github.com/madsmtm/objc2
displaydoc,0.2.5,MIT OR Apache-2.0,https://github.com/yaahc/displaydoc
disqualified,1.0.0,MIT OR Apache-2.0,https://github.com/bevyengine/disqualified
dlib,0.5.3,MIT,https://github.com/elinorbgr/dlib
document-features,0.2.12,MIT OR Apache-2.0,https://github.com/slint-ui/document-features
downcast-rs,1.2.1,MIT/Apache-2.0,https://github.com/marcianx/downcast-rs
downcast-rs,2.0.2,MIT OR Apache-2.0,https://github.com/marcianx/downcast-rs
dpi,0.1.2,Apache-2.0 AND MIT,https://github.com/rust-windowing/winit
dyn-clone,1.0.20,MIT OR Apache-2.0,https://github.com/dtolnay/dyn-clone
dyn-eq,0.1.3,MPL-2.0,https://github.com/Rayzeq/dyn-eq
dyn-hash,1.0.0,MIT OR Apache-2.0,https://github.com/dtolnay/dyn-hash
earcutr,0.4.3,ISC,https://github.com/frewsxcv/earcutr/
ecolor,0.33.3,MIT OR Apache-2.0,https://github.com/emilk/egui
egui,0.33.3,MIT OR Apache-2.0,https://github.com/emilk/egui
either,1.15.0,MIT OR Apache-2.0,https://github.com/rayon-rs/either
emath,0.33.3,MIT OR Apache-2.0,https://github.com/emilk/egui/tree/main/crates/emath
ena,0.14.4,MIT OR Apache-2.0,https://github.com/rust-lang/ena
encase,0.12.0,MIT-0,https://github.com/teoxoy/encase
encase_derive,0.12.0,MIT-0,https://github.com/teoxoy/encase
encase_derive_impl,0.12.0,MIT-0,https://github.com/teoxoy/encase
encoding_rs,0.8.35,(Apache-2.0 OR MIT) AND BSD-3-Clause,https://github.com/hsivonen/encoding_rs
enumn,0.1.14,MIT OR Apache-2.0,https://github.com/dtolnay/enumn
epaint,0.33.3,MIT OR Apache-2.0,https://github.com/emilk/egui/tree/main/crates/epaint
epaint_default_fonts,0.33.3,(MIT OR Apache-2.0) AND OFL-1.1 AND Ubuntu-font-1.0,https://github.com/emilk/egui/tree/main/crates/epaint_default_fonts
equivalent,1.0.2,Apache-2.0 OR MIT,https://github.com/indexmap-rs/equivalent
erased-serde,0.4.10,MIT OR Apache-2.0,https://github.com/dtolnay/erased-serde
errno,0.3.14,MIT OR Apache-2.0,https://github.com/lambda-fairy/rust-errno
error-code,3.3.2,BSL-1.0,https://github.com/DoumanAsh/error-code
euclid,0.22.14,MIT OR Apache-2.0,https://github.com/servo/euclid
event-listener,5.4.1,Apache-2.0 OR MIT,https://github.com/smol-rs/event-listener
event-listener-strategy,0.5.4,Apache-2.0 OR MIT,https://github.com/smol-rs/event-listener-strategy
fast-surface-nets,0.2.1,MIT OR Apache-2.0,https://github.com/bonsairobo/fast-surface-nets-rs
fastrand,2.4.1,Apache-2.0 OR MIT,https://github.com/smol-rs/fastrand
fax,0.2.7,MIT,https://github.com/pdf-rs/fax
fdeflate,0.3.7,MIT OR Apache-2.0,https://github.com/image-rs/fdeflate
file-id,0.2.3,MIT OR Apache-2.0,https://github.com/notify-rs/notify.git
find-msvc-tools,0.1.9,MIT OR Apache-2.0,https://github.com/rust-lang/cc-rs
fixedbitset,0.5.7,MIT OR Apache-2.0,https://github.com/petgraph/fixedbitset
flate2,1.1.9,MIT OR Apache-2.0,https://github.com/rust-lang/flate2-rs
float_next_after,1.0.0,MIT,https://gitlab.com/bronsonbdevost/next_afterf
fnv,1.0.7,Apache-2.0 / MIT,https://github.com/servo/rust-fnv
foldhash,0.1.5,Zlib,https://github.com/orlp/foldhash
foldhash,0.2.0,Zlib,https://github.com/orlp/foldhash
font-types,0.10.1,MIT OR Apache-2.0,https://github.com/googlefonts/fontations
font-types,0.11.3,MIT OR Apache-2.0,https://github.com/googlefonts/fontations
fontconfig-parser,0.5.8,MIT,https://github.com/Riey/fontconfig-parser
fontdb,0.23.0,MIT,https://github.com/RazrFalcon/fontdb
foreign-types,0.5.0,MIT/Apache-2.0,https://github.com/sfackler/foreign-types
foreign-types-macros,0.2.3,MIT/Apache-2.0,https://github.com/sfackler/foreign-types
foreign-types-shared,0.3.1,MIT/Apache-2.0,https://github.com/sfackler/foreign-types
form_urlencoded,1.2.2,MIT OR Apache-2.0,https://github.com/servo/rust-url
fsevent-sys,4.1.0,MIT,https://github.com/octplane/fsevent-rust/tree/master/fsevent-sys
futures-channel,0.3.32,MIT OR Apache-2.0,https://github.com/rust-lang/futures-rs
futures-core,0.3.32,MIT OR Apache-2.0,https://github.com/rust-lang/futures-rs
futures-io,0.3.32,MIT OR Apache-2.0,https://github.com/rust-lang/futures-rs
futures-lite,2.6.1,Apache-2.0 OR MIT,https://github.com/smol-rs/futures-lite
futures-macro,0.3.32,MIT OR Apache-2.0,https://github.com/rust-lang/futures-rs
futures-task,0.3.32,MIT OR Apache-2.0,https://github.com/rust-lang/futures-rs
futures-util,0.3.32,MIT OR Apache-2.0,https://github.com/rust-lang/futures-rs
generic-array,0.14.7,MIT,https://github.com/fizyk20/generic-array.git
geo,0.32.0,MIT OR Apache-2.0,https://github.com/georust/geo
geo-types,0.7.20,MIT OR Apache-2.0,https://github.com/georust/geo
geographiclib-rs,0.2.7,MIT,https://github.com/georust/geographiclib-rs
gethostname,1.1.0,Apache-2.0,https://codeberg.org/swsnr/gethostname.rs.git
getrandom,0.2.17,MIT OR Apache-2.0,https://github.com/rust-random/getrandom
getrandom,0.3.4,MIT OR Apache-2.0,https://github.com/rust-random/getrandom
getrandom,0.4.2,MIT OR Apache-2.0,https://github.com/rust-random/getrandom
gilrs,0.11.1,Apache-2.0/MIT,https://gitlab.com/gilrs-project/gilrs
gilrs-core,0.6.7,Apache-2.0/MIT,https://gitlab.com/gilrs-project/gilrs
gl_generator,0.14.0,Apache-2.0,https://github.com/brendanzab/gl-rs/
glam,0.14.0,MIT OR Apache-2.0,https://github.com/bitshifter/glam-rs
glam,0.15.2,MIT OR Apache-2.0,https://github.com/bitshifter/glam-rs
glam,0.16.0,MIT OR Apache-2.0,https://github.com/bitshifter/glam-rs
glam,0.17.3,MIT OR Apache-2.0,https://github.com/bitshifter/glam-rs
glam,0.18.0,MIT OR Apache-2.0,https://github.com/bitshifter/glam-rs
glam,0.19.0,MIT OR Apache-2.0,https://github.com/bitshifter/glam-rs
glam,0.20.5,MIT OR Apache-2.0,https://github.com/bitshifter/glam-rs
glam,0.21.3,MIT OR Apache-2.0,https://github.com/bitshifter/glam-rs
glam,0.22.0,MIT OR Apache-2.0,https://github.com/bitshifter/glam-rs
glam,0.23.0,MIT OR Apache-2.0,https://github.com/bitshifter/glam-rs
glam,0.24.2,MIT OR Apache-2.0,https://github.com/bitshifter/glam-rs
glam,0.25.0,MIT OR Apache-2.0,https://github.com/bitshifter/glam-rs
glam,0.27.0,MIT OR Apache-2.0,https://github.com/bitshifter/glam-rs
glam,0.28.0,MIT OR Apache-2.0,https://github.com/bitshifter/glam-rs
glam,0.29.3,MIT OR Apache-2.0,https://github.com/bitshifter/glam-rs
glam,0.30.10,MIT OR Apache-2.0,https://github.com/bitshifter/glam-rs
glam,0.31.1,MIT OR Apache-2.0,https://github.com/bitshifter/glam-rs
glam,0.32.1,MIT OR Apache-2.0,https://github.com/bitshifter/glam-rs
glob,0.3.3,MIT OR Apache-2.0,https://github.com/rust-lang/glob
glow,0.16.0,MIT OR Apache-2.0 OR Zlib,https://github.com/grovesNL/glow
gltf,1.4.1,MIT OR Apache-2.0,https://github.com/gltf-rs/gltf
gltf-derive,1.4.1,MIT OR Apache-2.0,https://github.com/gltf-rs/gltf
gltf-json,1.4.1,MIT OR Apache-2.0,https://github.com/gltf-rs/gltf
glutin_wgl_sys,0.6.1,Apache-2.0,https://github.com/rust-windowing/glutin
gpu-alloc,0.6.0,MIT OR Apache-2.0,https://github.com/zakarumych/gpu-alloc
gpu-alloc-types,0.3.0,MIT OR Apache-2.0,https://github.com/zakarumych/gpu-alloc
gpu-allocator,0.27.0,MIT OR Apache-2.0,https://github.com/Traverse-Research/gpu-allocator
gpu-descriptor,0.3.2,MIT OR Apache-2.0,https://github.com/zakarumych/gpu-descriptor
gpu-descriptor-types,0.2.0,MIT OR Apache-2.0,https://github.com/zakarumych/gpu-descriptor
grid,1.0.1,MIT,https://github.com/becheran/grid
guillotiere,0.6.2,MIT/Apache-2.0,https://github.com/nical/guillotiere
half,2.7.1,MIT OR Apache-2.0,https://github.com/VoidStarKat/half-rs
harfrust,0.4.1,MIT,https://github.com/harfbuzz/harfrust
hash32,0.3.1,MIT OR Apache-2.0,https://github.com/japaric/hash32
hashbrown,0.15.5,MIT OR Apache-2.0,https://github.com/rust-lang/hashbrown
hashbrown,0.16.1,MIT OR Apache-2.0,https://github.com/rust-lang/hashbrown
hashbrown,0.17.1,MIT OR Apache-2.0,https://github.com/rust-lang/hashbrown
heapless,0.8.0,MIT OR Apache-2.0,https://github.com/rust-embedded/heapless
heapless,0.9.3,MIT OR Apache-2.0,https://github.com/rust-embedded/heapless
heck,0.5.0,MIT OR Apache-2.0,https://github.com/withoutboats/heck
hermit-abi,0.5.2,MIT OR Apache-2.0,https://github.com/hermit-os/hermit-rs
hexasphere,16.0.0,MIT OR Apache-2.0,https://github.com/OptimisticPeach/hexasphere.git
hexf-parse,0.2.1,CC0-1.0,https://github.com/lifthrasiir/hexf
hound,3.5.1,Apache-2.0,https://github.com/ruuda/hound
i_float,1.15.0,MIT,https://github.com/iShape-Rust/iFloat
i_key_sort,0.6.0,MIT,https://github.com/iShape-Rust/iKeySort
i_overlay,4.0.7,MIT,https://github.com/iShape-Rust/iOverlay
i_shape,1.14.0,MIT,https://github.com/iShape-Rust/iShape
i_tree,0.16.0,MIT,https://github.com/iShape-Rust/iTree
iana-time-zone,0.1.65,MIT OR Apache-2.0,https://github.com/strawlab/iana-time-zone
iana-time-zone-haiku,0.1.2,MIT OR Apache-2.0,https://github.com/strawlab/iana-time-zone
icu_collections,2.2.0,Unicode-3.0,https://github.com/unicode-org/icu4x
icu_locale_core,2.2.0,Unicode-3.0,https://github.com/unicode-org/icu4x
icu_normalizer,2.2.0,Unicode-3.0,https://github.com/unicode-org/icu4x
icu_normalizer_data,2.2.0,Unicode-3.0,https://github.com/unicode-org/icu4x
icu_properties,2.2.0,Unicode-3.0,https://github.com/unicode-org/icu4x
icu_properties_data,2.2.0,Unicode-3.0,https://github.com/unicode-org/icu4x
icu_provider,2.2.0,Unicode-3.0,https://github.com/unicode-org/icu4x
id-arena,2.3.0,MIT/Apache-2.0,https://github.com/fitzgen/id-arena
idna,1.1.0,MIT OR Apache-2.0,https://github.com/servo/rust-url/
idna_adapter,1.2.2,Apache-2.0 OR MIT,https://github.com/hsivonen/idna_adapter
image,0.25.10,MIT OR Apache-2.0,https://github.com/image-rs/image
image-webp,0.2.4,MIT OR Apache-2.0,https://github.com/image-rs/image-webp
indexmap,2.14.0,Apache-2.0 OR MIT,https://github.com/indexmap-rs/indexmap
inflections,1.1.1,MIT,https://docs.rs/inflections
inotify,0.11.1,ISC,https://github.com/hannobraun/inotify
inotify-sys,0.1.5,ISC,https://github.com/hannobraun/inotify-sys
inventory,0.3.24,MIT OR Apache-2.0,https://github.com/dtolnay/inventory
is-terminal,0.4.17,MIT,https://github.com/sunfishcode/is-terminal
is_terminal_polyfill,1.70.2,MIT OR Apache-2.0,https://github.com/polyfill-rs/is_terminal_polyfill
itertools,0.10.5,MIT/Apache-2.0,https://github.com/rust-itertools/itertools
itertools,0.11.0,MIT OR Apache-2.0,https://github.com/rust-itertools/itertools
